Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa, Search Method
BOOKKEEPER, 2, naive_bayes, NaN, 0.0, 0.3335450004233342, 0.0, BACKWARD_SEARCH
BOOKKEEPER, 2, random_forest, NaN, 0.0, 0.45838625010583356, 0.0, BACKWARD_SEARCH
BOOKKEEPER, 2, ibk, NaN, 0.0, 0.4979585885097696, 0.0, BACKWARD_SEARCH
BOOKKEEPER, 3, naive_bayes, 0.41836734693877553, 0.5857142857142857, 0.6892116182572614, 0.30580357142857145, BACKWARD_SEARCH
BOOKKEEPER, 3, random_forest, 0.4074074074074074, 0.39285714285714285, 0.6205542382928275, 0.2297936210131332, BACKWARD_SEARCH
BOOKKEEPER, 3, ibk, 0.2899628252788104, 0.37142857142857144, 0.5438253309622604, 0.09753029853830335, BACKWARD_SEARCH
BOOKKEEPER, 5, naive_bayes, 0.0, 0.0, 0.7595614035087719, -0.06304236855538504, BACKWARD_SEARCH
BOOKKEEPER, 5, random_forest, 0.21428571428571427, 0.10526315789473684, 0.680548245614035, 0.0402165506573856, BACKWARD_SEARCH
BOOKKEEPER, 5, ibk, 0.224, 0.16374269005847952, 0.6310883690708252, 0.06280763929907453, BACKWARD_SEARCH
BOOKKEEPER, 6, naive_bayes, 0.6666666666666666, 0.16326530612244897, 0.8836966604823747, 0.2138750906959872, BACKWARD_SEARCH
BOOKKEEPER, 6, random_forest, 0.6666666666666666, 0.2857142857142857, 0.7723214285714286, 0.33779971791255303, BACKWARD_SEARCH
BOOKKEEPER, 6, ibk, 0.6538461538461539, 0.3469387755102041, 0.7424500103071532, 0.3867730682849905, BACKWARD_SEARCH
BOOKKEEPER, 7, naive_bayes, 0.5, 0.03125, 0.8399675792507204, 0.04125965884239689, BACKWARD_SEARCH
BOOKKEEPER, 7, random_forest, 0.5757575757575758, 0.1484375, 0.7723905799711815, 0.18393142525061765, BACKWARD_SEARCH
BOOKKEEPER, 7, ibk, 0.5694444444444444, 0.21354166666666666, 0.7264999599743837, 0.24661590524534674, BACKWARD_SEARCH
