@relation BOOKKEEPER_3/BOOKKEEPER_3_training_set.arff

@attribute ' Size' numeric
@attribute ' LOCAdded' numeric
@attribute ' LOCTouched' numeric
@attribute ' maxLOCAdded' numeric
@attribute ' averageLOCAdded' numeric
@attribute ' NR' numeric
@attribute ' Churn' numeric
@attribute ' MaxChurn' numeric
@attribute ' AverageChurn' numeric
@attribute ' nAuthors' numeric
@attribute Buggy {'true','false'}

@data
35,36,37,35,18.0,2,35,35,17.5,2,false
231,243,255,224,48.0,5,231,224,46.20000076293945,2,true
92,834,1576,763,139.0,6,92,763,15.333333015441895,3,false
50,53,56,50,26.0,2,50,50,25.0,2,false
29,30,31,29,15.0,2,29,29,14.5,2,false
37,40,43,37,20.0,2,37,37,18.5,2,false
180,195,210,168,48.0,4,180,168,45.0,2,false
147,147,147,147,147.0,1,147,147,147.0,1,false
98,99,100,98,49.0,2,98,98,49.0,2,false
149,152,155,149,76.0,2,149,149,74.5,2,false
45,45,45,45,45.0,1,45,45,45.0,1,false
105,148,191,103,29.0,5,105,103,21.0,3,false
227,279,331,226,93.0,3,227,226,75.66666412353516,2,false
98,102,106,98,51.0,2,98,98,49.0,2,false
96,107,118,95,26.0,4,96,95,24.0,2,false
60,61,62,60,30.0,2,60,60,30.0,2,false
68,79,90,68,39.0,2,68,68,34.0,2,false
74,78,82,74,39.0,2,74,74,37.0,2,false
603,683,763,573,75.0,9,603,573,67.0,3,true
62,62,62,62,62.0,1,62,62,62.0,1,false
84,93,102,83,23.0,4,84,83,21.0,2,false
157,164,171,151,54.0,3,157,151,52.33333206176758,3,true
35,35,35,35,35.0,1,35,35,35.0,1,true
41,42,43,41,21.0,2,41,41,20.5,2,false
177,181,185,176,60.0,3,177,176,59.0,2,true
66,79,92,65,39.0,2,66,65,33.0,2,false
84,133,182,83,44.0,3,84,83,28.0,2,false
39,49,59,38,16.0,3,39,38,13.0,2,false
53,53,53,53,53.0,1,53,53,53.0,1,false
197,208,219,187,52.0,4,197,187,49.25,3,true
71,72,72,72,72.0,1,72,72,72.0,1,false
91,96,101,91,48.0,2,91,91,45.5,2,false
169,232,295,140,25.0,9,169,140,18.77777862548828,3,true
22,22,22,22,22.0,1,22,22,22.0,1,false
248,288,328,198,41.0,7,248,198,35.42856979370117,3,true
193,193,193,193,193.0,1,193,193,193.0,1,true
50,50,50,50,50.0,1,50,50,50.0,1,false
74,76,78,73,38.0,2,74,73,37.0,2,true
98,100,102,97,50.0,2,98,97,49.0,2,false
62,62,62,62,62.0,1,62,62,62.0,1,false
737,886,1035,736,295.0,3,737,736,245.6666717529297,2,true
48,56,64,48,18.0,3,48,48,16.0,2,false
566,600,634,561,150.0,4,566,561,141.5,3,true
385,400,415,364,66.0,6,385,364,64.16666412353516,3,true
46,47,48,46,23.0,2,46,46,23.0,2,false
61,66,71,61,22.0,3,61,61,20.33333396911621,3,true
29,30,31,29,15.0,2,29,29,14.5,2,true
56,56,56,56,56.0,1,56,56,56.0,1,true
204,210,216,124,42.0,5,204,124,40.79999923706055,3,true
393,489,585,209,44.0,11,393,209,35.727272033691406,3,true
28,28,28,28,28.0,1,28,28,28.0,1,false
114,123,132,113,30.0,4,114,113,28.5,2,true
1026,1246,1466,545,89.0,14,1026,545,73.28571319580078,3,true
369,369,369,369,369.0,1,369,369,369.0,1,true
183,203,223,185,50.0,4,183,185,45.75,3,false
58,60,62,57,30.0,2,58,57,29.0,2,false
728,931,1134,714,155.0,6,728,714,121.33333587646484,2,true
41,42,42,42,42.0,1,42,42,42.0,1,false
289,290,291,289,145.0,2,289,289,144.5,2,true
104,134,164,104,67.0,2,104,104,52.0,2,false
181,203,225,178,29.0,7,181,178,25.85714340209961,3,true
42,42,42,42,42.0,1,42,42,42.0,1,false
64,80,96,64,40.0,2,64,64,32.0,2,false
548,1040,1532,410,115.0,9,548,410,60.88888931274414,3,true
138,138,138,138,138.0,1,138,138,138.0,1,true
78,78,78,78,78.0,1,78,78,78.0,1,true
52,54,56,52,27.0,2,52,52,26.0,2,true
58,59,60,58,29.0,2,58,58,29.0,2,false
137,150,163,136,37.0,4,137,136,34.25,2,true
58,63,68,58,21.0,3,58,58,19.33333396911621,2,false
41,41,41,41,41.0,1,41,41,41.0,1,false
38,40,42,38,20.0,2,38,38,19.0,2,false
69,98,127,94,32.0,3,69,94,23.0,3,false
452,472,492,450,118.0,4,452,450,113.0,2,true
87,88,89,87,44.0,2,87,87,43.5,2,true
72,73,74,72,36.0,2,72,72,36.0,2,false
85,86,87,85,43.0,2,85,85,42.5,2,false
81,81,81,81,81.0,1,81,81,81.0,1,true
75,81,87,75,40.0,2,75,75,37.5,2,true
32,35,38,31,17.0,2,32,31,16.0,2,true
