Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa, Search Method
open, 2, naive_bayes, NaN, 0.0, 0.6706120770676691, 0.0, BIDIRECTIONAL_SEARCH
open, 2, random_forest, NaN, 0.0, 0.5426530192669173, 0.0, BIDIRECTIONAL_SEARCH
open, 2, ibk, NaN, 0.0, 0.5558068347953217, 0.0, BIDIRECTIONAL_SEARCH
open, 3, naive_bayes, 0.3333333333333333, 0.024390243902439025, 0.39045785194694055, 0.039821522813414244, BIDIRECTIONAL_SEARCH
open, 3, random_forest, 0.3333333333333333, 0.012195121951219513, 0.47181883825417203, 0.020554984583761392, BIDIRECTIONAL_SEARCH
open, 3, ibk, 0.3333333333333333, 0.008130081300813009, 0.49271234488660676, 0.013852727151345943, BIDIRECTIONAL_SEARCH
open, 4, naive_bayes, 0.5, 0.1794871794871795, 0.7552157124204795, 0.2325581395348832, BIDIRECTIONAL_SEARCH
open, 4, random_forest, 0.26666666666666666, 0.1282051282051282, 0.6623242909131316, 0.1290933854444245, BIDIRECTIONAL_SEARCH
open, 4, ibk, 0.19672131147540983, 0.10256410256410256, 0.6144964240847232, 0.08601819022660773, BIDIRECTIONAL_SEARCH
open, 5, naive_bayes, 0.5789473684210527, 0.12643678160919541, 0.7846921312311109, 0.18290090123990982, BIDIRECTIONAL_SEARCH
open, 5, random_forest, 0.28, 0.08045977011494253, 0.682459126825183, 0.09085036515997068, BIDIRECTIONAL_SEARCH
open, 5, ibk, 0.2073170731707317, 0.06513409961685823, 0.7003840857935458, 0.061364183857530265, BIDIRECTIONAL_SEARCH
open, 6, naive_bayes, 0.5862068965517241, 0.14782608695652175, 0.7458310401761145, 0.20130872529063815, BIDIRECTIONAL_SEARCH
open, 6, random_forest, 0.4888888888888889, 0.09565217391304348, 0.6447028068244359, 0.12916747938647039, BIDIRECTIONAL_SEARCH
open, 6, ibk, 0.4153846153846154, 0.0782608695652174, 0.6052375710878738, 0.10086485459038211, BIDIRECTIONAL_SEARCH
open, 7, naive_bayes, 0.65625, 0.1640625, 0.7512879609544468, 0.2246946335602723, BIDIRECTIONAL_SEARCH
open, 7, random_forest, 0.5490196078431373, 0.109375, 0.6638167706073753, 0.14789811635531253, BIDIRECTIONAL_SEARCH
open, 7, ibk, 0.5074626865671642, 0.08854166666666667, 0.6229753216136419, 0.11886116941792015, BIDIRECTIONAL_SEARCH
open, 8, naive_bayes, 0.6206896551724138, 0.1836734693877551, 0.7850212185187555, 0.25172056336271764, BIDIRECTIONAL_SEARCH
open, 8, random_forest, 0.4857142857142857, 0.17346938775510204, 0.6809838355404858, 0.21737664381252114, BIDIRECTIONAL_SEARCH
open, 8, ibk, 0.44761904761904764, 0.1598639455782313, 0.6452200873383139, 0.1962958800094909, BIDIRECTIONAL_SEARCH
open, 9, naive_bayes, 0.56, 0.2692307692307692, 0.7899765675500969, 0.32015976455749445, BIDIRECTIONAL_SEARCH
open, 9, random_forest, 0.39344262295081966, 0.23076923076923078, 0.637540653280543, 0.23521838169753376, BIDIRECTIONAL_SEARCH
open, 9, ibk, 0.3382352941176471, 0.22115384615384615, 0.6082224556489262, 0.20557890714558677, BIDIRECTIONAL_SEARCH
open, 10, naive_bayes, 0.6923076923076923, 0.2125984251968504, 0.7225021309635331, 0.2850518506028162, BIDIRECTIONAL_SEARCH
open, 10, random_forest, 0.45454545454545453, 0.1968503937007874, 0.6574961389472618, 0.21810561609388096, BIDIRECTIONAL_SEARCH
open, 10, ibk, 0.39204545454545453, 0.18110236220472442, 0.5999433618493294, 0.18613344670121434, BIDIRECTIONAL_SEARCH
open, 11, naive_bayes, 0.6615384615384615, 0.2945205479452055, 0.6633044573004406, 0.3526480359585694, BIDIRECTIONAL_SEARCH
open, 11, random_forest, 0.4557823129251701, 0.22945205479452055, 0.5819013968406223, 0.23464073330555646, BIDIRECTIONAL_SEARCH
open, 11, ibk, 0.38009049773755654, 0.1917808219178082, 0.5519897651615826, 0.17909553191757804, BIDIRECTIONAL_SEARCH
open, 12, naive_bayes, 0.5915492957746479, 0.2937062937062937, 0.6907391971086239, 0.3422735679194398, BIDIRECTIONAL_SEARCH
open, 12, random_forest, 0.41208791208791207, 0.26223776223776224, 0.5960082910719854, 0.2536791105131479, BIDIRECTIONAL_SEARCH
open, 12, ibk, 0.36678200692041524, 0.24708624708624707, 0.5737210418739082, 0.22327222031338442, BIDIRECTIONAL_SEARCH
open, 13, naive_bayes, 0.7407407407407407, 0.2564102564102564, 0.6647300588593464, 0.3400004711758188, BIDIRECTIONAL_SEARCH
open, 13, random_forest, 0.45185185185185184, 0.1955128205128205, 0.636153817964504, 0.21578013291008116, BIDIRECTIONAL_SEARCH
open, 13, ibk, 0.3767441860465116, 0.17307692307692307, 0.5924801484388116, 0.17448430773529244, BIDIRECTIONAL_SEARCH
open, 14, naive_bayes, 0.6842105263157895, 0.31137724550898205, 0.6948665876616427, 0.3785817813131554, BIDIRECTIONAL_SEARCH
open, 14, random_forest, 0.44976076555023925, 0.281437125748503, 0.6704217980777765, 0.2753256195471154, BIDIRECTIONAL_SEARCH
open, 14, ibk, 0.39937106918238996, 0.25349301397205587, 0.612861171002952, 0.23459256830736325, BIDIRECTIONAL_SEARCH
open, 15, naive_bayes, 0.7096774193548387, 0.26993865030674846, 0.6796230605841699, 0.34595046841802085, BIDIRECTIONAL_SEARCH
open, 15, random_forest, 0.48, 0.294478527607362, 0.6414890778138377, 0.29814932663141297, BIDIRECTIONAL_SEARCH
open, 15, ibk, 0.425, 0.278118609406953, 0.6128919413985239, 0.2631880352967603, BIDIRECTIONAL_SEARCH
open, 16, naive_bayes, 0.68, 0.3722627737226277, 0.7248657209750723, 0.4394296128845539, BIDIRECTIONAL_SEARCH
open, 16, random_forest, 0.44692737430167595, 0.291970802919708, 0.6600127079916365, 0.29458641976449196, BIDIRECTIONAL_SEARCH
open, 16, ibk, 0.36996336996337, 0.24574209245742093, 0.609493572274181, 0.23075999755037035, BIDIRECTIONAL_SEARCH
open, 17, naive_bayes, 0.5568181818181818, 0.48514851485148514, 0.8232377224433407, 0.4811223887900941, BIDIRECTIONAL_SEARCH
open, 17, random_forest, 0.3438914027149321, 0.37623762376237624, 0.7200852768001053, 0.30296842756709563, BIDIRECTIONAL_SEARCH
open, 17, ibk, 0.29190751445086704, 0.3333333333333333, 0.658886860446842, 0.24929831041125877, BIDIRECTIONAL_SEARCH
open, 18, naive_bayes, 0.5957446808510638, 0.38620689655172413, 0.7552705112960761, 0.4177279673968415, BIDIRECTIONAL_SEARCH
open, 18, random_forest, 0.40160642570281124, 0.3448275862068966, 0.6765703032104637, 0.29910406616126833, BIDIRECTIONAL_SEARCH
open, 18, ibk, 0.35353535353535354, 0.3218390804597701, 0.6286722156163298, 0.2584118438761778, BIDIRECTIONAL_SEARCH
open, 19, naive_bayes, 0.4636363636363636, 0.2982456140350877, 0.7692743531981705, 0.29848512580884784, BIDIRECTIONAL_SEARCH
open, 19, random_forest, 0.4006514657980456, 0.35964912280701755, 0.7256524904999203, 0.301425084826478, BIDIRECTIONAL_SEARCH
open, 19, ibk, 0.3739495798319328, 0.3469785575048733, 0.6662282597977868, 0.2783794449072653, BIDIRECTIONAL_SEARCH
