Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa, Search Method
OPENJPA, 2, naive_bayes, NaN, 0.0, 0.6706120770676691, 0.0, BACKWARD_SEARCH
OPENJPA, 2, random_forest, NaN, 0.0, 0.5426530192669173, 0.0, BACKWARD_SEARCH
OPENJPA, 2, ibk, NaN, 0.0, 0.5558068347953217, 0.0, BACKWARD_SEARCH
OPENJPA, 3, naive_bayes, 0.5, 0.024390243902439025, 0.39045785194694055, 0.042680387112581174, BACKWARD_SEARCH
OPENJPA, 3, random_forest, 0.5, 0.012195121951219513, 0.47180546640992727, 0.021805527738834377, BACKWARD_SEARCH
OPENJPA, 3, ibk, 0.5, 0.008130081300813009, 0.49295006656206913, 0.014643454577550633, BACKWARD_SEARCH
OPENJPA, 4, naive_bayes, 0.5, 0.14102564102564102, 0.7552157124204795, 0.19230769230769218, BACKWARD_SEARCH
OPENJPA, 4, random_forest, 0.34285714285714286, 0.07692307692307693, 0.664557115870767, 0.09995100440960253, BACKWARD_SEARCH
OPENJPA, 4, ibk, 0.25, 0.06837606837606838, 0.6172126998237507, 0.07647217963747906, BACKWARD_SEARCH
OPENJPA, 5, naive_bayes, 0.5384615384615384, 0.08045977011494253, 0.7846921312311109, 0.12076568648776977, BACKWARD_SEARCH
OPENJPA, 5, random_forest, 0.47058823529411764, 0.04597701149425287, 0.6822300307079828, 0.06983797343422282, BACKWARD_SEARCH
OPENJPA, 5, ibk, 0.34375, 0.0421455938697318, 0.6784973991943369, 0.05776848221551292, BACKWARD_SEARCH
OPENJPA, 6, naive_bayes, 0.6956521739130435, 0.1391304347826087, 0.7458310401761145, 0.203148425787107, BACKWARD_SEARCH
OPENJPA, 6, random_forest, 0.7083333333333334, 0.07391304347826087, 0.633778205833792, 0.11578103613856489, BACKWARD_SEARCH
OPENJPA, 6, ibk, 0.5555555555555556, 0.057971014492753624, 0.5983825597749648, 0.08630707067651747, BACKWARD_SEARCH
OPENJPA, 7, naive_bayes, 0.7083333333333334, 0.1328125, 0.7512879609544468, 0.19260243978730054, BACKWARD_SEARCH
OPENJPA, 7, random_forest, 0.7037037037037037, 0.07421875, 0.6727625915130152, 0.11365844582721712, BACKWARD_SEARCH
OPENJPA, 7, ibk, 0.6153846153846154, 0.0625, 0.630655071252109, 0.09308881856248484, BACKWARD_SEARCH
OPENJPA, 8, naive_bayes, 0.64, 0.16326530612244897, 0.7850212185187555, 0.2311296199895886, BACKWARD_SEARCH
OPENJPA, 8, random_forest, 0.6285714285714286, 0.11224489795918367, 0.6911745889578402, 0.16702906964470435, BACKWARD_SEARCH
OPENJPA, 8, ibk, 0.62, 0.1054421768707483, 0.6498440894992619, 0.15748187584956908, BACKWARD_SEARCH
OPENJPA, 9, naive_bayes, 0.6666666666666666, 0.19230769230769232, 0.7899765675500969, 0.26614620298083735, BACKWARD_SEARCH
OPENJPA, 9, random_forest, 0.6511627906976745, 0.1346153846153846, 0.6507655946994182, 0.19597676016742735, BACKWARD_SEARCH
OPENJPA, 9, ibk, 0.6268656716417911, 0.1346153846153846, 0.6095624147094736, 0.19355506772149314, BACKWARD_SEARCH
OPENJPA, 10, naive_bayes, 0.7142857142857143, 0.15748031496062992, 0.7225021309635331, 0.2244955085629947, BACKWARD_SEARCH
OPENJPA, 10, random_forest, 0.5909090909090909, 0.10236220472440945, 0.6647941615818923, 0.14421865154379285, BACKWARD_SEARCH
OPENJPA, 10, ibk, 0.547945205479452, 0.10498687664041995, 0.6033824416106615, 0.14319923578662574, BACKWARD_SEARCH
OPENJPA, 11, naive_bayes, 0.7222222222222222, 0.1780821917808219, 0.6633044573004406, 0.24455067760185997, BACKWARD_SEARCH
OPENJPA, 11, random_forest, 0.6521739130434783, 0.10273972602739725, 0.5810733341326699, 0.14547858766760988, BACKWARD_SEARCH
OPENJPA, 11, ibk, 0.5901639344262295, 0.0821917808219178, 0.5472811732928337, 0.11446839147923805, BACKWARD_SEARCH
OPENJPA, 12, naive_bayes, 0.7105263157894737, 0.1888111888111888, 0.6907391971086239, 0.2626978413903355, BACKWARD_SEARCH
OPENJPA, 12, random_forest, 0.5753424657534246, 0.14685314685314685, 0.6000162258124041, 0.1963529411764705, BACKWARD_SEARCH
OPENJPA, 12, ibk, 0.5309734513274337, 0.13986013986013987, 0.5744365330352591, 0.18213736217437632, BACKWARD_SEARCH
OPENJPA, 13, naive_bayes, 0.7777777777777778, 0.1794871794871795, 0.6647300588593464, 0.2581004455245039, BACKWARD_SEARCH
OPENJPA, 13, random_forest, 0.6842105263157895, 0.125, 0.6523690323162619, 0.18084918784411297, BACKWARD_SEARCH
OPENJPA, 13, ibk, 0.6129032258064516, 0.12179487179487179, 0.6005742482215657, 0.17000762539904096, BACKWARD_SEARCH
