Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa, Search Method
bookkee, 2, naive_bayes, NaN, 0.0, 0.3335450004233342, 0.0, BIDIRECTIONAL_SEARCH
bookkee, 2, random_forest, NaN, 0.0, 0.45838625010583356, 0.0, BIDIRECTIONAL_SEARCH
bookkee, 2, ibk, NaN, 0.0, 0.4979585885097696, 0.0, BIDIRECTIONAL_SEARCH
bookkee, 3, naive_bayes, 0.28169014084507044, 0.8571428571428571, 0.6892116182572614, 0.12888148059044907, BIDIRECTIONAL_SEARCH
bookkee, 3, random_forest, 0.281786941580756, 0.5857142857142857, 0.5972510373443983, 0.1100095390188744, BIDIRECTIONAL_SEARCH
bookkee, 3, ibk, 0.24705882352941178, 0.5, 0.5305637884476059, 0.04210602601732073, BIDIRECTIONAL_SEARCH
bookkee, 5, naive_bayes, 0.0, 0.0, 0.7595614035087719, -0.06719717064544638, BIDIRECTIONAL_SEARCH
bookkee, 5, random_forest, 0.2088607594936709, 0.2894736842105263, 0.6472222222222223, 0.07017144591109092, BIDIRECTIONAL_SEARCH
bookkee, 5, ibk, 0.2, 0.28654970760233917, 0.6012248213125406, 0.05851619644723088, BIDIRECTIONAL_SEARCH
bookkee, 6, naive_bayes, 0.7142857142857143, 0.40816326530612246, 0.8836966604823747, 0.45774219225546664, BIDIRECTIONAL_SEARCH
bookkee, 6, random_forest, 0.4369747899159664, 0.5306122448979592, 0.7729978354978355, 0.3713183668390836, BIDIRECTIONAL_SEARCH
bookkee, 6, ibk, 0.40540540540540543, 0.5102040816326531, 0.7383314436885865, 0.33595225328142103, BIDIRECTIONAL_SEARCH
bookkee, 7, naive_bayes, 0.7037037037037037, 0.296875, 0.8399675792507204, 0.3582854617764031, BIDIRECTIONAL_SEARCH
bookkee, 7, random_forest, 0.38620689655172413, 0.4375, 0.7618425792507204, 0.29336949905492127, BIDIRECTIONAL_SEARCH
bookkee, 7, ibk, 0.34934497816593885, 0.4166666666666667, 0.7092113952929875, 0.2536059950319723, BIDIRECTIONAL_SEARCH
