Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa
bookkee, 2, naive_bayes, 0.08196721311475409, 0.053763440860215055, 0.19316738633477268, -0.4058755658116623
bookkee, 2, random_forest, 0.08196721311475409, 0.026881720430107527, 0.38851494369655404, -0.2127273573056707
bookkee, 2, ibk, 0.08196721311475409, 0.017921146953405017, 0.4067912209898494, -0.14413590947773197
bookkee, 3, naive_bayes, 0.2796208530805687, 0.8428571428571429, 0.70334914048607, 0.12373165545971551
bookkee, 3, random_forest, 0.2938775510204082, 0.5142857142857142, 0.6046235921754594, 0.12271317375782759
bookkee, 3, ibk, 0.23770491803278687, 0.4142857142857143, 0.5231937034841599, 0.02247138299868628
bookkee, 5, naive_bayes, 0.0, 0.0, 0.6116081871345029, -0.06304236855538504
bookkee, 5, random_forest, 0.2, 0.09649122807017543, 0.6360818713450292, 0.029299150990510878
bookkee, 5, ibk, 0.27472527472527475, 0.14619883040935672, 0.6136842105263158, 0.08989898989899014
bookkee, 6, naive_bayes, 0.8, 0.08163265306122448, 0.8827690166975881, 0.12271508652205704
bookkee, 6, random_forest, 0.6363636363636364, 0.21428571428571427, 0.7575177798392084, 0.26243744870131563
bookkee, 6, ibk, 0.6774193548387096, 0.2857142857142857, 0.730407819693534, 0.34067508130971813
bookkee, 7, naive_bayes, 0.75, 0.046875, 0.8414985590778098, 0.07122029450357195
bookkee, 7, random_forest, 0.5, 0.1328125, 0.7518292957492796, 0.15461995821950802
bookkee, 7, ibk, 0.515625, 0.171875, 0.7096816962856228, 0.19514759234828533
