Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa, Search Method, Sampling Method
open, 2, naive_bayes, NaN, 0.0, 0.6595688439849624, 0.0, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 2, random_forest, NaN, 0.0, 0.5398922109962406, 0.0, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 2, ibk, NaN, 0.0, 0.5547125191450849, 0.0, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 3, naive_bayes, 0.5, 0.04878048780487805, 0.3862323491655969, 0.08186667293277256, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 3, random_forest, 0.5, 0.024390243902439025, 0.47076246255883614, 0.042680387112581174, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 3, ibk, 0.5, 0.016260162601626018, 0.4748089312033471, 0.028864237011507598, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 4, naive_bayes, 0.5, 0.1794871794871795, 0.7516251354279523, 0.2325581395348832, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 4, random_forest, 0.19658119658119658, 0.2948717948717949, 0.6849077700919521, 0.15707883329659855, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 4, ibk, 0.15690866510538642, 0.2863247863247863, 0.6280893778185219, 0.11347300810521482, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 5, naive_bayes, 0.5714285714285714, 0.13793103448275862, 0.7848438505140249, 0.19591179247903048, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 5, random_forest, 0.1774193548387097, 0.12643678160919541, 0.71911602277003, 0.08347408534457461, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 5, ibk, 0.14285714285714285, 0.12260536398467432, 0.6500813889664343, 0.058809030645558286, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 6, naive_bayes, 0.5641025641025641, 0.19130434782608696, 0.7393093010456797, 0.24430628441434205, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 6, random_forest, 0.27439024390243905, 0.1956521739130435, 0.703348009539534, 0.15205902881643274, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 6, ibk, 0.22887323943661972, 0.18840579710144928, 0.6502598911514706, 0.12078427732481149, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 7, naive_bayes, 0.6363636363636364, 0.1640625, 0.7594393980477223, 0.2219897635147758, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 7, random_forest, 0.38562091503267976, 0.23046875, 0.7307621424213666, 0.21710455516780178, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 7, ibk, 0.3425196850393701, 0.2265625, 0.6846242129127501, 0.19454565894497405, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 8, naive_bayes, 0.6451612903225806, 0.20408163265306123, 0.8092625765039558, 0.27783631623070504, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 8, random_forest, 0.42028985507246375, 0.29591836734693877, 0.7601760923805259, 0.29303889684681667, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 8, ibk, 0.3359073359073359, 0.29591836734693877, 0.7079574776619112, 0.249330236871798, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 9, naive_bayes, 0.5666666666666667, 0.3269230769230769, 0.7794117647058824, 0.3691756272401431, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 9, random_forest, 0.29900332225913623, 0.4326923076923077, 0.7468916653199742, 0.26842087530743575, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 9, ibk, 0.24090121317157712, 0.44551282051282054, 0.704351051317963, 0.2119672483536239, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 10, naive_bayes, 0.6078431372549019, 0.2440944881889764, 0.7214176604130271, 0.3002742906570457, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 10, random_forest, 0.3541666666666667, 0.4015748031496063, 0.7108957642352584, 0.28539515884539896, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 10, ibk, 0.31007751937984496, 0.4199475065616798, 0.675103781909362, 0.2538999409580412, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 11, naive_bayes, 0.5897435897435898, 0.3150684931506849, 0.6553423158778214, 0.3481906607535498, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 11, random_forest, 0.3489208633093525, 0.3321917808219178, 0.6473220976589431, 0.23796995931353082, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 11, ibk, 0.3024193548387097, 0.3424657534246575, 0.6311657157892283, 0.20488211185885638, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 12, naive_bayes, 0.5769230769230769, 0.3146853146853147, 0.7224590695928276, 0.35480263627495273, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 12, random_forest, 0.34726688102893893, 0.3776223776223776, 0.67061918972747, 0.2748173258465538, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 12, ibk, 0.30590339892665475, 0.3986013986013986, 0.6553644515427955, 0.2482051531921195, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 13, naive_bayes, 0.7105263157894737, 0.34615384615384615, 0.6771079990077351, 0.41964208148727283, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 13, random_forest, 0.3835227272727273, 0.4326923076923077, 0.7394917179712694, 0.31959002468186054, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 13, ibk, 0.3125, 0.42735042735042733, 0.6944137493829666, 0.25752576717568415, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 14, naive_bayes, 0.6753246753246753, 0.31137724550898205, 0.7003090593007534, 0.3761910898005414, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 14, random_forest, 0.39622641509433965, 0.44011976047904194, 0.7334109026933057, 0.32699861425423943, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 14, ibk, 0.3362193362193362, 0.46506986027944114, 0.7011411643437914, 0.28476642935009355, BIDIRECTIONAL_SEARCH, OVERSAMPLING
