Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa
open, 2, naive_bayes, NaN, 0.0, 0.2995770676691729, 0.0
open, 2, random_forest, NaN, 0.0, 0.4229151981516291, 0.0
open, 2, ibk, NaN, 0.0, 0.4642693974519632, 0.0
open, 3, naive_bayes, 0.7777777777777778, 0.17073170731707318, 0.8201353230637569, 0.2686732605729872
open, 3, random_forest, 0.7777777777777778, 0.08536585365853659, 0.6300411852802739, 0.14658370646043004
open, 3, ibk, 0.7777777777777778, 0.056910569105691054, 0.5966190034707365, 0.1007852356506571
open, 4, naive_bayes, 0.4117647058823529, 0.08974358974358974, 0.7249631913770592, 0.12290817044016297
open, 4, random_forest, 0.3103448275862069, 0.057692307692307696, 0.6855050420868406, 0.07469237965028387
open, 4, ibk, 0.32432432432432434, 0.05128205128205128, 0.6467699468782893, 0.06874602164226634
open, 5, naive_bayes, 0.5294117647058824, 0.10344827586206896, 0.7322276031994562, 0.1496873147315881
open, 5, random_forest, 0.4, 0.05747126436781609, 0.6900268846569324, 0.08107598204710667
open, 5, ibk, 0.3939393939393939, 0.04980842911877394, 0.6384091188009187, 0.0708858892085274
open, 6, naive_bayes, 0.5, 0.06956521739130435, 0.6786644652357365, 0.09830866027896447
open, 6, random_forest, 0.5294117647058824, 0.0391304347826087, 0.6507762337185837, 0.0588592350309877
open, 6, ibk, 0.5555555555555556, 0.043478260869565216, 0.6142440734625655, 0.0659770929999531
open, 7, naive_bayes, 0.48, 0.09375, 0.7160257931127982, 0.12188006482982128
open, 7, random_forest, 0.5172413793103449, 0.05859375, 0.687650403335141, 0.08250121647831202
open, 7, ibk, 0.5757575757575758, 0.049479166666666664, 0.6334376506387082, 0.0732460491567343
open, 8, naive_bayes, 0.5833333333333334, 0.07142857142857142, 0.7955238521740985, 0.10921915952787188
open, 8, random_forest, 0.5555555555555556, 0.05102040816326531, 0.7866432623206022, 0.07906696304028954
open, 8, ibk, 0.5625, 0.061224489795918366, 0.692659648324673, 0.09390566786511857
open, 9, naive_bayes, 0.75, 0.08653846153846154, 0.7745788219133808, 0.1376
open, 9, random_forest, 0.6, 0.08653846153846154, 0.6566792582417582, 0.12965139052095512
open, 9, ibk, 0.6, 0.07692307692307693, 0.6181902248078719, 0.11659034871433639
open, 10, naive_bayes, 0.7777777777777778, 0.16535433070866143, 0.7894354845515693, 0.24083334399099687
open, 10, random_forest, 0.6808510638297872, 0.12598425196850394, 0.7119686305289009, 0.18201887197921318
open, 10, ibk, 0.5862068965517241, 0.13385826771653545, 0.672920306183592, 0.18148790460397277
open, 11, naive_bayes, 0.9090909090909091, 0.136986301369863, 0.7157796528881029, 0.2095819546068882
open, 11, random_forest, 0.6829268292682927, 0.0958904109589041, 0.6609111312610533, 0.13896448177168882
open, 11, ibk, 0.6774193548387096, 0.0958904109589041, 0.6308318262508784, 0.13857502305155772
open, 12, naive_bayes, 0.3577981651376147, 0.2727272727272727, 0.6933798685391042, 0.23314289769703034
open, 12, random_forest, 0.4065040650406504, 0.17482517482517482, 0.7025888124614239, 0.18828680203045697
open, 12, ibk, 0.44805194805194803, 0.16083916083916083, 0.670835887396397, 0.18727078621614535
open, 13, naive_bayes, 0.6774193548387096, 0.2692307692307692, 0.820163272669869, 0.34002971089018413
open, 13, random_forest, 0.6666666666666666, 0.17307692307692307, 0.7732075806778973, 0.2368553482563879
open, 13, ibk, 0.6722689075630253, 0.17094017094017094, 0.7279142768368801, 0.2351581948375244
open, 14, naive_bayes, 0.7111111111111111, 0.19161676646706588, 0.7801815723391926, 0.2620722628235779
open, 14, random_forest, 0.6625, 0.15868263473053892, 0.7253679215239964, 0.21760916802635327
open, 14, ibk, 0.6206896551724138, 0.17964071856287425, 0.6889487517264222, 0.23499089221327954
open, 15, naive_bayes, 0.6956521739130435, 0.09815950920245399, 0.6797254897732541, 0.14556821671044992
open, 15, random_forest, 0.6764705882352942, 0.1411042944785276, 0.6317839121481018, 0.19885568872775877
open, 15, ibk, 0.7215189873417721, 0.1165644171779141, 0.604494245396377, 0.17184183148395862
open, 16, naive_bayes, 0.7619047619047619, 0.11678832116788321, 0.7246247073405867, 0.17960223865680588
open, 16, random_forest, 0.6756756756756757, 0.09124087591240876, 0.6439148752363185, 0.1392373986003366
open, 16, ibk, 0.6545454545454545, 0.08759124087591241, 0.6152625970488523, 0.13298813769995685
open, 17, naive_bayes, 0.7407407407407407, 0.19801980198019803, 0.822382487418177, 0.2892948646541157
open, 17, random_forest, 0.578125, 0.18316831683168316, 0.7305978832933128, 0.2502737865123489
open, 17, ibk, 0.5858585858585859, 0.19141914191419143, 0.6935741331608244, 0.2603624170649927
open, 18, naive_bayes, 0.7857142857142857, 0.15172413793103448, 0.7553953626634958, 0.22651565622918057
open, 18, random_forest, 0.7678571428571429, 0.1482758620689655, 0.672900564803805, 0.22051965356429098
open, 18, ibk, 0.12395437262357414, 0.37471264367816093, 0.5713799709340732, 0.023170731707316903
open, 19, naive_bayes, 0.4262295081967213, 0.15204678362573099, 0.7633945434273102, 0.17306660776827665
open, 19, random_forest, 0.5, 0.14327485380116958, 0.7136476892620657, 0.179818290826915
open, 19, ibk, 0.22939866369710468, 0.20077972709551656, 0.6504549672206168, 0.11737339168672623
open, 21, naive_bayes, 0.75, 0.2214765100671141, 0.7904863267554844, 0.31050990830036596
open, 21, random_forest, 0.6853932584269663, 0.20469798657718122, 0.7107025693679254, 0.2822086112773576
open, 21, ibk, 0.6071428571428571, 0.19015659955257272, 0.6456517746836289, 0.25399994953882077
